NOM DU LIEU,SOURCE_codes_temp,ADRESSE,TELEPHONE,URL,PUBLICS,TYPOLOGIE,ESPACES PROPOSÉS,DESCRIPTION,IMAGE,MODELE_JURIDIQUE,FABRIQUE_DE_TERRITOIRE,DEPARTEMENT,ÉTAT DE VOTRE TIERS-LIEUX,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
SOFA,PiNG-CAPTL,ZI les Relandières Nord  44850 Le Cellier,02 40 50 69 75,https://www.tete-haute.fr,Professionnels – Citoyens,T-O-D-C,2-7-9-10-17-18,"SOFA, c'est un espace de partage, de convivialité, d’apprentissage et de mutualisation des savoirs. Ouvert à tous et à toutes, notre tiers-lieu se veut évolutif pour s'enrichir au quotidien de vos envies, idées et initiatives ! ",,Association,NON,44,En activité,47.317941,-1.368435,Route des Relandières,Route des Relandières 44850 Le Cellier,Le Cellier,44850,undefined
Ecosite Une Emeraude en Anjou,FTL,La Groie. 49124 Le Plessis Grammoire,0626549222,https://www.une-emeraude-en-anjou.com,Professionnels,T-D,6-12,Ecosite de biodiversité et de ressourcement regroupant divers espaces de permaculture d'une part et destiné à être un accélérateur pour les entreprises et collectivités dans leurs mise en mouvement et actions face aux transformations environnementales  sociales et sociétales actuelles. Notre Collectif les accompagnons par des ateliers pédagogiques combinant théories et pratiques sur des thématiques sol  alimentation  permaculture  biodiversité  déconnection  des séminaires plaisir RSE  des accompagnements conseils personnalisés sur la biodiversité  la permaentreprise  l'économie circulaire.,,Association,NON,49,En activité,47.510212,-0.428189,La Groie,La Groie 49124 Le Plessis-Grammoire,Le Plessis-Grammoire,49124,undefined
Ferme de l' Abbatiale,FTL-CAPTL,Route de la Polhaie  44530 St-Gildas-des-Bois,02 40 56 60 00,http://cado-agroecologie.fr/ferme-de-l-abbatiale/,Professionnels – Citoyens,O-C,6-14-15-17,Lauréat de l'AAP """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Economie circulaire"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" de la Région  le tiers lieux de la Ferme de l'Abbatiale conduit une dynamique de coopération autour de l'agroécologie et de la bioéconomie circulaire. Il héberge une diversité de projets de coopération tels que la création de paysages nourriciers et la recherche en agroécologie (acteurs tels que le CADO  Terre et Humanisme) ou encore le développement de circuits court  l'accompagnement et la formation d'acteurs privés et publics à l'alimentation durable. Une partie du site accueille notamment les activités de gestion de compostable des biodéchets avec Olygéo (Compost In situ).,,SARL/SAS/SA,NON,44,En activité,47.516629,-2.034272,Route de la Polhaie,Route de la Polhaie 44530 Saint-Gildas-des-Bois,Saint-Gildas-des-Bois,44530,undefined
Point du Jour,FTL-CAPTL,Le Point du Jour  44260 Savenay,0671196440,https://www.recyclerienordatlantique.org/,Professionnels – Citoyens,O-C,4-12-13-14,Situé à Savenay  le tiers lieu du Point du Jour est un espace à l'usage des associations du territoire et entreprises de l'ESS. Partie intégrante du réseau des boutiques solidaires Nord Atlantique  il mène des actions de coopérations et accueille différents ateliers  animations et structures afin de promouvoir et développer l'économie circulaire et l'économie sociale et solidaire sur le territoire.,,Autre,OUI,44,En activité,47.367008,-1.937929,Rond-point du Golfeur,Rond-point du Golfeur 44260 Savenay,Savenay,44260,undefined
La cueilleuse,FTL-CAPTL,Ecluse de Cramezeul  44390  Nort-sur-Erdre,0786536001,https://lacueilleuse.com,Citoyens,,4-14-18,Café culturel / fournil sur les bords du canal de Nantes à Brest,,SARL/SAS/SA,NON,44,En activité,47.439257,-1.512414,Rue des ecluses,Rue des ecluses 44390 Nort-sur-Erdre,Nort-sur-Erdre,44390,undefined
La Filature Numérique,FTL,24 boulevard Pierre Lecoq Zone d'Activités du Carteron 49300 Cholet,null,https://www.cholet.fr/welcome/filaturenumerique.php,Professionnels,O-D,1-2-7,La Filature est un lieu d'échanges et d'émulation destiné aux acteurs du numérique. A travers cet équipement l'Agglomération du Choletais s'inscrit dans une démarche de soutien et de développement de cette filière.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/filature_conviviale.jpg,Collectivité,NON,49,En activité,47.049011,-0.861866,null,null,Cholet,null,undefined
Ruche d'idées,FTL-CAPTL,292 rue du Chai 85440 Talmont saint Hilaire,null,https://ruche-didees.centres-sociaux.fr/,Professionnels–Citoyens,O-D-C,6-12-18-17,Depuis sa création en 1977 Ruche d'Idées œuvre dans le domaine de l'étude la recherche et l'information dans le Talmondais. La Ruche est un centre social qui est plus que jamais engagée dans les enjeux sociétaux actuels : solidarité numérique écologie ou encore lien social avec la volonté d'être au plus proche de la réalité de son territoire. En 2021 l'association a amorcé sa transformation en tiers-lieu pour devenir un lieu de vie convivial et ouvert à tous qui facilite les rencontres les échanges et les projets pour le territoire et ses habitants.,null,Association,NON,null,null,46.472305,-1.604598,null,null,Talmont-Saint-Hilaire,null,undefined
Les Ateliers Magellan,CAPTL-FTL,12 Quai Magellan 44000 Nantes,null,https://www.interstices.pro/le-lieu-1,Citoyens–Professionnels,O-D,3-4-8-9-12-17-18,Coordonné par l'association InterStices depuis 2018 les Ateliers Magellan consiste en l’occupation temporaire d’un ancien chantier naval et chaudronnerie en centre ville de Nantes. Les locaux sont la propriété de Nantes Métropole Aménagement partenaire du projet. Ce site de plus de 1500m² est un véritable espace ressource pour les acteurs culturels locaux les professionnels de la construction et les habitants de la ville. Il accueille : un espace de répétition pour les arts de la rue - un atelier de fabrication bois/métal - un atelier d’auto-réparation de vélo : l’Atelier du Pignon - des bureaux et une salle de réunion à disposition des associations - un jardin partagé. Les Ateliers Magellan sont en parallèle une base d’appui pour développer de nombreux projets à l’extérieur grâce à ses ressources techniques (matérielle et humaine) son espace de stockage et sa capacité à se transformer en espace de convivialité (restauration bar etc.). Il est aussi ouvert aux associations qui souhaitent organiser un évènement  un tournage etc.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/magellan.jpeg,Association,NON,44,En activité,47.211222,-1.542142,undefined,undefined,Nantes,undefined,undefined
Manufacture de Tressage,FTL,15 rue de la croix de pierre 49122 Bégrolles en mauges,null,https://www.manufacture-de-tressage.fr,Citoyens–Professionnels,T-O-D-C,1-2-3-4-9-12-13-14-18-17,À une époque où la prise de conscience environnementale est cruciale la Manufacture de Tressage se positionne comme un tiers-lieu dynamique dédié au textile. Ce projet a pour vocation de redonner vie à des savoir-faire traditionnels de tressage et de recyclage tout en créant un espace de rencontre et d’échange pour divers acteurs de la communauté. En s’appuyant sur l’héritage industriel de l’ancienne usine de SCF la Manufacture de Tressage s’inscrit dans une démarche de valorisation du patrimoine textile régional. Labellisée Manufacture de proximité en juin 2022 dans le cadre de France Relance elle incarne une vision innovante de la production textile en lien avec l’éco-responsabilité et le savoir-faire local. Nous proposons une gamme d’ateliers créatifs tel que le tressage sur métiers bois datant de 1830 Initiation au tressage à la main – Kumihimo Ateliers sur l’art du fils tissage couture arts plastique et bien-être. Animer par nos intervenantes et créatrices. Mais aussi des espaces de travail mis à disposition à la location ou des espaces privatisables. Que vous soyez simples curieux amateurs de coutures ou artistes nous serons ravies de vous accueillir dans notre boutique.,null,SARL/SAS/SA,NON,49,En projet,47.140026,-0.948162,null,null,Bégrolles-en-Mauges,null,undefined
L'Esvière tiers-lieu pour acteurs de changement,CAPTL-FTL,2 rue de l'Esvière 49100 ANGERS,null,https://esviere-fondacio.fr,Citoyens–Professionnels,O,8-10-15-18-17-1-19,Au cœur d’Angers l’Esvière est un tiers-lieu qui s’appuie sur la formation le ressourcement et le partage pour impulser une nouvelle manière d’habiter notre planète et d’y vivre tous ensemble.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/vue_aerienne_angers.jpg,Association,NON,49,En activité,47.468234,-0.5623,null,null,Angers,null,undefined
Epicerie coopérative de Fontaine Daniel,FTL-CAPTL,7 rue des Tisserands  Fontaine Daniel 53100 SAINT-GEORGES-BUTTAVENT,null,https://www.lepicerie.org,Citoyens,O-D-C,3-6-9-10-11-14-17-18-19,L’Épicerie coopérative de Fontaine-Daniel est une épicerie multi-services conviviale. On y trouve une librairie et bouquinerie un bistro des évènements mais aussi des lieux de résidence d'artistes.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/epicerie_coop_fontaine_daniel.jpg,SCIC ou SCOP,NON,53,En activité,48.309283,-0.694678,null,null,Saint-Georges-Buttavent,null,undefined
Espace coworking quai des entrepreneurs,FTL-CAPTL,6A rue d'Ancenis 44110 CHATEAUBRIANT,null,https://www.cc-chateaubriant-derval.fr/espace-economie/le-quai-des-entrepreneurs,Professionnels,T,1-2,Tiers-lieu économique le Quai des Entrepreneurs facilite la création le développement et la transmission d’entreprises sur le territoire de la Communauté de communes Châteaubriant Derval. Ce lieu a pour objectifs : d'accueillir les partenaires de l’économie dans un lieu unique - de conseiller et accompagner à taille humaine - de faciliter le passage de l’idée au projet - de mettre à disposition un espace de coworking modulable avec des bureaux individuels ou en open space - de favoriser la mise en réseau,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/quai_entrepreneurs.jpg,Collectivité,NON,44,En activité,47.71571,-1.370722,null,null,Châteaubriant,null,undefined
L'Ampère,CAPTL,17 rue du Général de Gaulle 53700 VILLAINES LA JUHEL,null,https://www.lampere.fr,Citoyens–Professionnels,T-O,1-2-7-12-13,Tiers lieu à vocation économique porté par la Communauté de Communes du Mont des Avaloirs proposant de la location d'espaces (salles de réunion bureaux privés espace coworking) et un Fablab. Tout au long de l'année retrouvez des animations pour nourrir vos expériences professionnelles. Des espaces ouverts 24h/24 et 7j/7 conçu avec soin et avec du mobilier de qualité modulable et à la pointe de la technologie pour vos évènements.,null,Collectivité,NON,53,En activité,48.339602,-0.280765,null,null,Villaines-la-Juhel,null,undefined
MAY'HUMANLAB,CAPTL-FTL-PiNG,17 Rue de Rastatt 53000 LAVAL,null,https://www.mayhumanlab.fr,Citoyens,O,12-17,Le MAY’HUMANLAB est un lieu de rencontre dans un espace équipé de technologies innovantes. Les bénévoles de l’association ont pour mission d’accompagner les porteur-euse-s de projets dans l’accomplissement de leur objectif. L’accompagnement s’élabore autour du projet : définition -mise en œuvre - utilisation des technologies à disposition. Le MAY’HUMANLAB à la particularité de s’adresser aux personnes en situation de handicap. Ses bénévoles accompagnent les individus ou les structures dans des projets d’aides techniques ou de système d’adaptation à différents handicaps.,null,Association,NON,53,En activité,48.077271,-0.781861,null,null,Laval,null,undefined
Les Commutateurs Coworking St Gilles,CAPTL-FTL,31 Boulevard Georges Pompidou 85800 Saint-Gilles-Croix-de-Vie,null,https://www.lescommutateurs.com,Professionnels–Citoyens,T,1-2-5-6,Espace de coworking ouvert en janvier 2018 nous accueillons tout public pour 1h 1 journée ou à l'année. Nous proposons des postes de coworking en openspace des bulles confidentielles pour des entretiens ou des visios des bureaux à partager des bureaux privés et des bureaux bien-être un espace de détente et des salles de réunions. Nous organisons des animations de networking ou thématiques directement ou par des partenaires. Nous accompagnons les porteurs de projets qui souhaitent s'installer sur le territoire.,null,SARL/SAS/SA,NON,null,En activité,46.701773,-1.942395,null,null,Saint-Gilles-Croix-de-Vie,null,undefined
Couleur Talents,CAPTL-FTL,18 rue Guillouzo 44600 Saint Nazaire,null,https://www.facebook.com/CouleurTalents,Citoyens–Professionnels,T-D-C,1-2-3-4-5-6-9-10-14-17-18,TIERS-LIEU ÉCONOMIQUE ARTISTIQUE. Formation - bilan de compétences -  coaching. Espaces à louer. Boutique-École associative dédiée aux artistes. Activités extra-muros à développer.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/main/photos/couleur_talents.jpg,SARL/SAS/SA,NON,44,En activité,47.280944,-2.211475,null,null,Saint-Nazaire,null,undefined
Synergie,CAPTL-FTL,21 Avenue de Bon-Air 49110 MONTREVAULT-SUR-EVRE,02 41 71 77 10,https://www.synergie-mauges.fr/,Professionnels–Citoyens,O-D-C,1-2-6-7-8-13-19,Ce site industriel haut lieu de résilience des Mauges date de 1911. Il a traversé un siècle d'électronique ! Son histoire a commencé par la fabrication de lampes d’éclairage puis de tubes électroniques radio tubes télé noir & blanc puis couleur (1956) de télévision couleurs et enfin de produits électroniques. Le site composé de 12 000 m² sur 3 ha sur la commune de Saint-Pierre-Montlimart fait partie du patrimoine industriel des Mauges ! Entre ces murs les effectifs n’ont cessé de varier : jusqu’à 1089 salariés en 1976 mais aussi des périodes de fermetures de plusieurs mois le temps de se relever sous d’autres noms : Compagnie Générale d’Electricité Compagnie des Lampes CIFTE OREGA-CIFTE Maugelec SEREL SEIPEL SOFREL Lacroix Electronics… L’activité a suivi les besoins de l’époque en déployant des technologies de pointe. Avec le transfert des 450 salariés de Lacroix à Beaupreau l’usine de Saint-Pierre-Montlimart ouvre un nouveau chapitre de l’activité économique des Mauges. Mais le principe reste inchangé : la synergie.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/synergie.jpg,Collectivité,undefined,49,En activité,47.26411,-1.03023,undefined,undefined,Montrevault-sur-Èvre,undefined,undefined
Notre ambition est d’en faire un tiers-lieu de formation d’innovation et d’expérimentation.,haut lieu de résilience des Mauges date de 1911. Il a traversé un siècle d'électronique ! Son histoire a commencé par la fabrication de lampes d’éclairage puis de tubes électroniques radio tubes télé noir & blanc puis couleur (1956) de télévision couleurs et enfin de produits électroniques. Le site composé de 12 000 m² sur 3 ha sur la commune de Saint-Pierre-Montlimart fait partie du patrimoine industriel des Mauges !,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,NaN,NaN,undefined,undefined,undefined,undefined,undefined
Campus À 2 PAS Fontenay-le-Comte,null,1 rue de Grissais - 2e étage 85200 Fontenay-le-Comte,0602005416,https://www.fontenayvendee.fr/a-2-pas/,Citoyens,T-O,2-17,Rapprocher les études supérieures des habitants du Sud Vendée : telle est la vocation du campus À 2 PAS de Fontenay-le-Comte. Plus que des bureaux partagés ce tiers-lieu conçu sur le modèle des campus connectés est un espace de formation pour les étudiants préparant un diplôme post bac à distance : BTS – Licence – Master - Titre professionnel de niveau 5 - préparation aux concours - DAEU. Dans une promo à taille humaine (20 places par année universitaire) les apprenants ont accès à des locaux équipés et au soutien d’une tutrice présente sur place. Ce service public est gratuit. Seuls les droits d’inscription à l’établissement de formation (université publique école ou organisme privé) et les éventuels frais de déplacement pour passer les examens sont à la charge de l’étudiant.,null,Collectivité,null,85 : Vendée,En activité,46.465615,-0.816776,null,null,Fontenay-le-Comte,null,null
Local CA Vous,CAPTL-FTL,2 place des droits de l'Homme 85500 Les Herbiers,null,https://www.linkedin.com/company/local-ca-vous/,Citoyens–Professionnels,D-O-C,1-2-6,C'est un Tiers lieu composé d'un espace de coworking et d'un espace évènementiel ouvert à tous créateurs de liens ! Il a vocation à favoriser l'accomplissement des jeunes accompagner les transition (numérique agro/agri et sociétale) et accompagner tous les moments de vie. Ce lieu est ouvert à tous l'écosystème du Pays des Herbiers et plus si affinité (professionnels agriculteurs associations collectivités écoles habitants …) Depuis son ouverture il y a un an et demi c'est déjà plus de 150 ateliers et plus de 1 400 participants qui font de cet espace un lieu de vie créateur de liens au cœur du territoire.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/localCA.jpg,Autre,NON,85 : Vendée,En activité,46.871042,-1.010949,null,null,Les Herbiers,null,null
Alliance locale,FTL,1 Boulevard Auguste Peneau 44300 Nantes,,https://alliancelocale-tiers-lieu.fr/,Citoyens–Professionnels,T-O-D-C,1-2-3-4-6-9-10-12-14-17,"Alliance Locale est un espace de vie et de travail partagé à Nantes idéal pour les créatifs et les entrepreneurs. Dans l'ancienne gare de Doulon réhabilitée ce tiers-lieu propose des espaces de coworking un jardin partagé et organise régulièrement des événements culturels. Ateliers créatifs marchés spectacles performances artistiques et ateliers bien-être rythment la vie d'Alliance Locale. Le lieu met l'accent sur le développement durable avec du mobilier de seconde main et des événements éco-responsables Alliance Locale c'est aussi un lieu de rencontres et d'échanges où chacun peut partager ses passions et ses projets. Viens découvrir Alliance Locale et rejoins notre communauté !"" Alliance Locale, le tiers-lieu qui vous réunit !",https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/alliancelocalev2.jpg,SARL/SAS/SA,NON,47.22561,-1.522344,47.22561,-1.522344,Nantes,null,Nantes,undefined,undefined
Les Ateliers de Demain,CAPTL-PiNG-FTL,Mairie place de l'hôtel de ville 72800 AUBIGNE-RACAN,null,https://www.aubigne-racan.com/,Citoyens,O-D-C,7-12-13-14-17,La création d’un tiers lieu est un axe fort de la dynamique municipale engagée depuis 2020 avec une feuille de route claire : Dynamisme créativité bienveillance entraide cohésion sociale et intergénérationnelle mise en réseau et hybridation d’activités : ateliers couture mécanique recyclerie matériauthèque repair-café jardinage cuisine… Que toute personne qui se demande comment elle pourrait trouver une solution pour résoudre un problème soit orientée vers « les ateliers de demain ». Le projet vise à créer un tiers-lieu associatif propulsé par l'Association Aubigné Détente Sports Loisirs A.D.S.L et soutenu par la municipalité.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/ateliers-de-demain.png,Association,NON,72,En projet,47.704575,0.266668,null,null,Aubigné-Racan,null,null
WeForge La Roche-sur-Yon Clémenceau,FTL,3 rue Jean Jaurès 85000 La Roche-sur-Yon,null,https://www.weforge.fr/coworking-vendee/,Citoyens–Professionnels,T-D-O-C,1-6-7,WeForge est une structure 100 % privée qui depuis 2013 accompagne les porteurs de projet dans leur réussite. Notre ADN est de proposer des solutions concrètes complètes et flexibles pour faciliter la vie des jeunes entreprises en les aidant à développer leur activité à des coûts maîtrisés ; en mettant à leur disposition des locaux en organisant des événements networking et des workshops thématiques mais aussi avec des mises en relation avec des réseaux d’entrepreneurs de clients d’investisseurs et de prestataires.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/weforge-laroche-clemenceau.jpg,SARL/SAS/SA,NON,85 : Vendée,En activité,46.669105,-1.428589,null,null,null,null,null
WeForge Cholet,FTL,5 rue la Filature 49300 Cholet,null,https://www.weforge.fr/coworking-cholet/,Citoyens–Professionnels,T-O-D-C,1-2-6-7,WeForge est une structure 100 % privée qui depuis 2013 accompagne les porteurs de projet dans leur réussite. Notre ADN est de proposer des solutions concrètes complètes et flexibles pour faciliter la vie des jeunes entreprises en les aidant à développer leur activité à des coûts maîtrisés ; en mettant à leur disposition des locaux en organisant des événements networking et des workshops thématiques mais aussi avec des mises en relation avec des réseaux d’entrepreneurs de clients d’investisseurs et de prestataires.,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/weforge-cholet.jpg,SARL/SAS/SA,null,49,En activité,47.062743,-0.878756,null,null,Cholet,null,null
l'heR D'enVie,FTL,6 Place de l'Eglise 85260 L'HERBERGEMENT,null,herdenvie.centres-sociaux.fr,Citoyens,O-D-C,7-12-17-18,L’heR D’enVie est un espace de vie sociale associatif sur la commune de L’Herbergement. C’est un lieu d’animation qui développe des actions en direction de tout le mode. C’est aussi et surtout un lieu qui accompagne les idées et les projets d’habitants.,null,Association,NON,85 : Vendée,En activité,46.908779,-1.377689,null,null,L'Herbergement,null,null
AAP Ateliers d'Artistes PLasticiens,FTL,44 le plessis cosson 85140 Les Essarts en bocage,null,https://aapartisteplasticien.wixsite.com/siteaap,Citoyens–Professionnels,O-D,3-9,Le lieu AAP est un espace de création d'exposition et d'expérimentation installé en milieu rural  ouvert au public depuis février 2012. Dans ce cadre sont présentées des oeuvres s'inscrivant volontairement dans le champ de l'art contemporain installations vidéos ... . Selon les projets des formes de travail transdisciplinaires croisent d’autres pratiques artistiques telle que la danse ou la musique…,https://raw.githubusercontent.com/multi-coop/data-ping-tiers-lieux/refs/heads/main/photos/AAP-ateliers-artistes-plasticiens.jpg,Association,NON,85 : Vendée,En activité,46.758908,-1.223336,null,null,Essarts-en-Bocage,null,null
